timestamp,signal,price,btc_amount,usd_amount,reason,portfolio_value,position_type,position_size_pct,kelly_multiplier
2025-05-15 18:00:00,SELL,102697.31,0.0896333357747974,9205.102470398459,Trend Reversal,16088.23724803247,SELL,,1.0
2025-05-15 19:00:00,BUY,103157.26,0.06139989058357237,6333.844476901127,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16114.116924190155,BUY,0.6143493552168817,1.0
2025-05-15 20:00:00,BUY,103443.51,0.023613382864453386,2442.6512064729122,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16147.798865937726,BUY,0.6143493552168817,1.0
2025-05-15 21:00:00,BUY,103288.75,0.009120160838005499,942.0100127565405,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16125.934442020105,BUY,0.6143493552168817,1.0
2025-05-15 22:00:00,BUY,103492.06,0.0035102863815032127,363.2867688117134,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16156.5122082285,BUY,0.6143493552168817,1.0
2025-05-15 23:00:00,BUY,103763.71,0.001350200148331366,140.10177663341287,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16198.321860306538,BUY,0.6143493552168817,1.0
2025-05-17 01:00:00,SELL,102829.57,0.09538400515923058,9808.296235401463,Trend Reversal,16053.287094952244,SELL,,1.0
2025-05-17 02:00:00,SELL,103286.01,0.036784903091653554,3799.3658685735595,Trend Reversal,16080.616986364315,SELL,,1.0
2025-05-17 03:00:00,BUY,103508.48,0.08128695136939687,8413.888780080188,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16085.754106546128,BUY,0.6143493552168817,1.0
2025-05-17 04:00:00,BUY,103658.05,0.031303132107649796,3244.821633171368,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16101.365960709818,BUY,0.6143493552168817,1.0
2025-05-17 05:00:00,SELL,103342.79,0.08335576678351923,8614.217501998202,Trend Reversal,16058.59104963842,SELL,,1.0
2025-05-17 06:00:00,SELL,103487.95,0.03214620520645542,3326.744877095398,Trend Reversal,16066.186635290367,SELL,,1.0
2025-05-17 07:00:00,SELL,103451.14,0.012397204765199968,1282.504965773369,Trend Reversal,16065.443831373457,SELL,,1.0
2025-05-17 08:00:00,SELL,103426.06,0.004780990011207713,494.4789597585696,Trend Reversal,16065.248653778717,SELL,,1.0
2025-05-17 09:00:00,SELL,102896.59,0.0018437918805239025,189.71989717559697,Trend Reversal,16063.659602730333,SELL,,1.0
2025-05-17 10:00:00,SELL,102873.74,0.0007110595275699212,73.14935296375091,Trend Reversal,16063.633155709485,SELL,,1.0
2025-05-17 11:00:00,BUY,102994.17,0.09554397667862857,9840.472576514707,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16063.686910763343,BUY,0.6143493552168817,1.0
2025-05-17 12:00:00,SELL,102927.57,0.05897160103265877,6069.803593301058,Trend Reversal,16057.29395438531,SELL,,1.0
2025-05-17 13:00:00,SELL,102713.34,0.02274243596213766,2335.9515574072725,Trend Reversal,16049.363430791858,SELL,,1.0
2025-05-17 14:00:00,SELL,103124.8,0.008770635092737164,904.4699898115015,Trend Reversal,16055.237556783222,SELL,,1.0
2025-05-17 15:00:00,SELL,102939.53,0.0033824010786715317,348.1827773099405,Trend Reversal,16054.217522428953,SELL,,1.0
2025-05-17 16:00:00,SELL,102938.32,0.0013044251569047907,134.27533421751556,Trend Reversal,16054.214953280914,SELL,,1.0
2025-05-17 17:00:00,BUY,103130.43,0.09513305855354134,9811.113235841896,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16054.372260188275,BUY,0.6143493552168817,1.0
2025-05-17 18:00:00,SELL,102987.2,0.05894798558500963,6070.887981040504,Trend Reversal,16040.629070090257,SELL,,1.0
2025-05-17 19:00:00,BUY,103158.6,0.0728325923596168,7513.308262188765,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16046.971540376002,BUY,0.6143493552168817,1.0
2025-05-17 20:00:00,BUY,103372.04,0.0280299409372924,2897.5121757674274,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16070.415043578787,BUY,0.6143493552168817,1.0
2025-05-17 21:00:00,BUY,103243.69,0.010823203227738607,1117.4274388516442,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16052.719885497952,BUY,0.6143493552168817,1.0
2025-05-17 22:00:00,SELL,103031.03,0.09134738887036482,9411.615563124224,Trend Reversal,16021.099545129378,SELL,,1.0
2025-05-17 23:00:00,SELL,103126.65,0.03522817941711044,3632.9641288855523,Trend Reversal,16026.582611868618,SELL,,1.0
2025-05-18 00:00:00,BUY,103382.8,0.0816854035212136,8444.865735152922,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16032.247133176066,BUY,0.6143493552168817,1.0
2025-05-18 01:00:00,BUY,103251.49,0.03154209121697503,3256.7679158685855,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16018.617223140765,BUY,0.6143493552168817,1.0
2025-05-18 02:00:00,BUY,103346.7,0.012153021302699482,1255.9746466636925,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16031.503094365822,BUY,0.6143493552168817,1.0
2025-05-18 03:00:00,BUY,103295.7,0.0046891345168976264,484.36743231710216,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16023.980870024392,BUY,0.6143493552168817,1.0
2025-05-18 04:00:00,BUY,103355.01,0.0018073300228506957,186.79661258503387,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16033.006887017886,BUY,0.6143493552168817,1.0
2025-05-18 05:00:00,BUY,103648.2,0.0006950263881738483,72.03823408672066,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16078.155525743821,BUY,0.6143493552168817,1.0
2025-05-18 13:00:00,SELL,104740.0,0.09503129710784056,9953.57805907522,Markov Exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),16247.041794283507,SELL,,1.0
2025-05-18 14:00:00,SELL,105270.97,0.036648881004214796,3858.0632527282655,Markov Exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),16278.71669746614,SELL,,1.0
2025-05-18 15:00:00,SELL,105518.0,0.014133664589855214,1491.3560201923424,Markov Exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),16284.399846856602,SELL,,1.0
2025-05-18 16:00:00,SELL,105822.22,0.00545065686222599,576.8006096189885,Markov Exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),16287.098960669526,SELL,,1.0
2025-05-18 17:00:00,BUY,104836.67,0.11028915726442085,11562.34798470819,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16283.726816297682,BUY,0.7260492379835873,1.0
2025-05-18 18:00:00,BUY,104498.0,0.03031171927797414,3167.514041109742,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16245.216398776822,BUY,0.7260492379835873,1.0
2025-05-18 19:00:00,BUY,103883.97,0.00835300080714763,867.7428852597002,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16156.78228592152,BUY,0.7260492379835873,1.0
2025-05-18 20:00:00,BUY,104053.05,0.0022845925674568448,237.71882465121544,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16182.545929314332,BUY,0.7260492379835873,1.0
2025-05-18 23:00:00,SELL,106454.26,0.11229081595834267,11953.83571764156,Markov Exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),16553.917202888242,SELL,,1.0
2025-05-19 00:00:00,BUY,105260.88,0.08399482032107285,8841.36870243801,Markov Aggressive: DOWN-NEUTRAL→FLAT-NEUTRAL (94%),16503.354598955775,BUY,0.7341176470588235,1.0
