timestamp,signal,price,btc_amount,usd_amount,reason,regime,risk_mode,portfolio_value
2025-05-18 17:00:00,BUY,104836.67,0.055069712730810766,5773.325300554807,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16564.575141227637
2025-05-18 18:00:00,BUY,104498.0,0.03314891366660495,3463.9951803328836,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16539.03973893213
2025-05-18 19:00:00,BUY,103883.97,0.020006908748286475,2078.3971081997297,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16472.38802186552
2025-05-18 20:00:00,BUY,104053.05,0.011984639228930222,1247.038264919838,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16494.124082704893
2025-05-18 21:00:00,BUY,104180.38,0.007181994910672266,748.2229589519027,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16512.018980990357
2025-05-18 22:00:00,BUY,105928.1,0.004238099006506692,448.93377537114156,Markov CONSERVATIVE: UP-NEUTRAL→FLAT-NEUTRAL (75%),SIDEWAYS,CONSERVATIVE,16770.19484355418
2025-05-18 23:00:00,SELL,106454.26,0.060783849348746824,6470.699702372325,Markov Exit CONSERVATIVE: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),SIDEWAYS,CONSERVATIVE,16850.149918987525
2025-05-19 00:00:00,BUY,105260.88,0.0271481688750048,2857.6401461716155,Markov CONSERVATIVE: DOWN-NEUTRAL→FLAT-NEUTRAL (94%),SIDEWAYS,CONSERVATIVE,16741.34257378381
2025-05-19 01:00:00,BUY,105059.97,0.01632005118317632,1714.5840877029689,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16717.57011041615
2025-05-19 02:00:00,BUY,104645.15,0.009830846939602853,1028.7504526217815,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16661.71708879134
2025-05-19 03:00:00,BUY,103605.88,0.005957676066001938,617.2502715730689,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16511.568720763553
2025-05-19 04:00:00,BUY,103002.07,0.0035955603896488803,370.35016294384127,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16420.736062621305
2025-05-19 05:00:00,BUY,103032.01,0.002156709334956241,222.21009776630473,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16425.34766326095
2025-05-19 06:00:00,BUY,102208.0,0.0013044581506318764,133.32605865978283,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16296.649837080397
2025-05-19 07:00:00,BUY,103226.29,0.0007749540857844422,79.9956351958697,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16457.019560332898
2025-05-19 08:00:00,BUY,103233.9,0.0004649381755171685,47.99738111752182,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16458.223950887652
2025-05-21 14:00:00,SELL,108999.99,0.0634916548893779,6920.589748025643,Markov Exit CONSERVATIVE: UP-OVERBOUGHT→FLAT-OVERBOUGHT (73%),SIDEWAYS,CONSERVATIVE,17373.47044174039
2025-05-21 15:00:00,SELL,108973.35,0.03809499293362673,4151.338998203633,Markov Exit CONSERVATIVE: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),SIDEWAYS,CONSERVATIVE,17370.933315211005
2025-05-21 16:00:00,SELL,109131.7,0.022856995760176038,2494.422804200803,Markov Exit CONSERVATIVE: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),SIDEWAYS,CONSERVATIVE,17379.981828407566
2025-05-21 17:00:00,BUY,106592.79,0.051179250011586574,5455.339048842545,Markov CONSERVATIVE: DOWN-NEUTRAL→FLAT-NEUTRAL (94%),SIDEWAYS,CONSERVATIVE,17292.934045749364
